Entity,Identifier
coronary atherosclerosis,MESH:D003324
coronary artery disease,MESH:D003324
coronary calcium,CoDiet_R2_26
coronary heart disease,MESH:D003327
coronary vascular disease,CoDiet_R2_28
heart attack,MESH:D009203
heart attacks,MESH:D009203
heart disease,CoDiet_R2_30
left main disease,CoDiet_R2_31
left main coronary disease,CoDiet_R2_32
myocardial infarction,MESH:D009203
primary cardiac arrest,MESH:D006323
sudden cardiac death,CoDiet_R2_35
visceral adipose disease,CoDiet_R2_36
carotid artery disease,MESH:D002340
carotid stenosis,MESH:D016893
cerebrovascular disorder,MESH:D002561
stroke,MESH:D002561
TIA,MESH:D002546
transient ischemic attack,MESH:D002546
alcoholic fatty liver,MESH:D005235
liver steatosis,MESH:D005234
non-alcoholic fatty liver disease,MESH:D065626
steatohepatitis,obo:DOID_0080547 
steatosis,MESH:D005234
visceral steatosis,MESH:D005234
polycystic ovary syndrome,MESH:D011085
PCOS,MESH:D011085
cholesterol gallstones,CoDiet_R6_1
gallstones,CoDiet_R6_2
apnea,MESH:D012891
apnoea,MESH:D012891
sleep apnoea,MESH:D012891
lipodystrophy,MESH:D008060
acidosis,obo:DOID_0050758
chronic renal disease,MESH:D007676
diabetic nephropathy,CoDiet_R9_3
diabetic kidney disease,CoDiet_R9_4
end-stage renal disease,obo:DOID_783
reduced glomerular filtration rate,CoDiet_R9_6
abdominal obesity-metabolic syndrome,MESH:C535554
dysmetabolic syndrome X,MESH:D024821
metabolic syndrome X,MESH:D024821
abdominal obesity-metabolic syndrome 1,MESH:D024821
noninsulin-dependent diabetes mellitus,MESH:D003924
non-insulin-dependent diabetes mellitus,MESH:D003924
NIDDM,MESH:D003924
lipoatrophic diabetes,MESH:D003923
lipoatrophic diabetes mellitus,MESH:D003923
NAFLD,MESH:D065626
non-alcoholic steatohepatitis,obo:DOID_0080547
hepatic lipidosis,MESH:D005234
Steatosis of liver,MESH:D005234
fatty liver disease,MESH:D005234
NASH,obo:DOID_0080547 
Alcoholic Steatohepatitis,MESH:D005235
lipid metabolism disorder,MESH:D008052
fatty acid metabolism disorder,MESH:D008052
cardiopulmonary arrest,MESH:D006323
circulatory arrest,MESH:D006323
cardiac arrest,MESH:D006323
cerebrovascular disease,MESH:D002561
transient cerebral ischemia,MESH:D002546
transient ischemic attack,MESH:D002546
transient ischemic attacks,MESH:D002546
chronic kidney disease,MESH:D007676
chronic kidney failure,MESH:D007676
chronic renal failure syndrome,MESH:D007676
end-stage kidney disease,obo:DOID_783
end stage renal disease,obo:DOID_783
end stage kidney disease,obo:DOID_783
