Entity,Identifier
absence of between group difference hypothesis,obo:STATO_0000061
absence of within subject difference hypothesis,obo:STATO_0000062
continuous probability distribution,obo:STATO_0000067
Yate's corrected Chi-Squared test,obo:STATO_0000070
Fisher's exact test,obo:STATO_0000073
Cochran-Mantel-Haenzel test for repeated tests of independence,obo:STATO_0000074
Mann-Whitney U-test,obo:STATO_0000076
Shapiro-Wilk test,obo:STATO_0000077
Levene's test,obo:STATO_0000078
Barlett's test,obo:STATO_0000079
Brown Forsythe test,obo:STATO_0000080
Pearson's Chi square test of independence between categorical variables,obo:STATO_0000081
fixed effect model,obo:STATO_0000082
Kolmogorov-Smirnov test,obo:STATO_0000083
multinomial probit regression for analysis of polychotomous dependent variable,obo:STATO_0000084
F-test,obo:STATO_0000086
Wilcoxon signed rank test,obo:STATO_0000092
Kruskal Wallis test,obo:STATO_0000094
paired t-test,obo:STATO_0000095
population stratification prior to sampling,obo:STATO_0000096
statistical test power analysis,obo:STATO_0000097
two sample Hotelling T2 test,obo:STATO_0000098
random effect model,obo:STATO_0000099
standardized mean difference,obo:STATO_0000100
multinomial distribution,obo:STATO_0000103
z-score,obo:STATO_0000104
log signal intensity ratio,obo:STATO_0000105
probit regression for analysis of polychotomous dependent variable,obo:STATO_0000106
statistical model,obo:STATO_0000107
linear regression for analysis of continuous dependent variable,obo:STATO_0000108
multinomial logistic regression for analysis of dichotomous dependent variable,obo:STATO_0000109
discrete probability distribution,obo:STATO_0000117
model parameter estimation,obo:STATO_0000119
association between categorical variables testing objective,obo:STATO_0000121
r2 measure of linkage desequilibrium,obo:STATO_0000123
Breslow-Day test for homogeneity of odds ratio,obo:STATO_0000130
sphericity test,obo:STATO_0000131
Hotelling T2 distribution,obo:STATO_0000132
post-hoc analysis,obo:STATO_0000133
true negative rate,obo:STATO_0000134
strictly standardized mean difference,obo:STATO_0000135
Tarone's test for homogeneity of odds ratio,obo:STATO_0000136
homoskedasticity test,obo:STATO_0000137
2 by 2 contingency table,obo:STATO_0000138
subject pairing,obo:STATO_0000139
correlation coefficient,obo:STATO_0000142
Bayesian model selection,obo:STATO_0000143
geometric distribution,obo:STATO_0000145
presence of between group difference hypothesis,obo:STATO_0000146
Cochran-Armitage test for trend,obo:STATO_0000148
binomial logistic regression for analysis of dichotomous dependent variable,obo:STATO_0000149
one sample Hotelling T2 test,obo:STATO_0000153
Scheffe test,obo:STATO_0000156
Least significance different test,obo:STATO_0000157
presence of association hypothesis,obo:STATO_0000158
exponential distribution,obo:STATO_0000160
data distribution,obo:STATO_0000161
homogeneity test objective,obo:STATO_0000173
confidence interval calculation,obo:STATO_0000175
t-statistic,obo:STATO_0000176
beta distribution,obo:STATO_0000177
ANCOVA,obo:STATO_0000179
standard normal distribution,obo:STATO_0000180
Hardy-Weinberg equilibrium testing,obo:STATO_0000181
sphericity testing objective,obo:STATO_0000183
Tukey HSD for Post-Hoc Analysis,obo:STATO_0000187
mixed effect model,obo:STATO_0000189
goodness of fit statistical test,obo:STATO_0000191
study group population,obo:STATO_0000193
non-parametric test,obo:STATO_0000198
Mauchly's test for sphericity,obo:STATO_0000199
statistical test power,obo:STATO_0000200
Spearman's rank correlation coefficient,obo:STATO_0000201
within subject comparison statistical test,obo:STATO_0000202
F-distribution,obo:STATO_0000204
specifying null and alternate hypothesis,obo:STATO_0000207
alternative hypothesis,obo:STATO_0000208
channel1/channel2 fluorescence intensity ratio,obo:STATO_0000210
odds ratio homogeneity hypothesis,obo:STATO_0000211
tetrachoric correlation coefficient,obo:STATO_0000212
ordered probit regression for analysis of ordinal dependent variable,obo:STATO_0000215
sphericity hypothesis,obo:STATO_0000217
RT-PCR standard curve,obo:STATO_0000219
false negative rate,obo:STATO_0000220
graeco-latin square design,obo:STATO_0000222
group assignment based on blocking variable specification,obo:STATO_0000223
goodness of fit testing objective,obo:STATO_0000224
probability distribution,obo:STATO_0000225
equal variance testing objective,obo:STATO_0000226
normal distribution,obo:STATO_0000227
Chi-square probability distribution,obo:STATO_0000229
true positive rate,obo:STATO_0000233
Kendall's correlation coefficient,obo:STATO_0000240
Woolf's test,obo:STATO_0000246
odds ratio homogeneity test,obo:STATO_0000247
group comparison objective,obo:STATO_0000250
within subject comparison objective,obo:STATO_0000253
between group comparison objective,obo:STATO_0000255
repeated measure ANOVA,obo:STATO_0000260
Newman-Keuls test post-hoc analysis,obo:STATO_0000261
Bernoulli distribution,obo:STATO_0000262
Bayes factor,obo:STATO_0000266
Gamma distribution,obo:STATO_0000268
polychoric correlation coefficient,obo:STATO_0000269
full factorial design,obo:STATO_0000270
receiver operational characteristics curve,obo:STATO_0000274
transmission disequilibrium test,obo:STATO_0000275
binomial distribution,obo:STATO_0000276
between group comparison statistical test,obo:STATO_0000279
Pearson's correlation coefficient,obo:STATO_0000280
F-statistic,obo:STATO_0000282
negative binomial distribution,obo:STATO_0000283
Breusch-Pagan test,obo:STATO_0000284
hypergeometric test,obo:STATO_0000285
one tailed test,obo:STATO_0000286
two tailed test,obo:STATO_0000287
absence of difference hypothesis,obo:STATO_0000288
design matrix,obo:STATO_0000289
absence of negative difference hypothesis,obo:STATO_0000294
absence of positive difference hypothesis,obo:STATO_0000295
absence of enrichment hypothesis,obo:STATO_0000296
absence of depletion hypothesis,obo:STATO_0000297
exact binomial test,obo:STATO_0000298
statistical inference,obo:STATO_0000299
one sample t-test,obo:STATO_0000302
two sample t-test with equal variance,obo:STATO_0000303
two sample t-test with unequal variance,obo:STATO_0000304
Pearson's Chi square test of goodness of fit,obo:STATO_0000309
Barnard's test,obo:STATO_0000310
central composite design,obo:STATO_0000311
Box-Behnkens design,obo:STATO_0000312
Plackett-Burman design,obo:STATO_0000313
root-mean-square standardized effect,obo:STATO_0000316
Hedges's g,obo:STATO_0000319
Glass's delta,obo:STATO_0000320
non-parametric distribution,obo:STATO_0000321
Akaike information criterion,obo:STATO_0000325
corrected Akaike information criterion,obo:STATO_0000326
Bayesian information criterion,obo:STATO_0000327
statistical model selection,obo:STATO_0000328
symmetric distribution,obo:STATO_0000329
empirical distribution,obo:STATO_0000330
histogram distribution,obo:STATO_0000331
smooth kernel distribution,obo:STATO_0000332
kernel mixture distribution,obo:STATO_0000333
mixture distribution,obo:STATO_0000334
survival distribution,obo:STATO_0000335
best linear unbiased predictor,obo:STATO_0000336
breeding value estimation,obo:STATO_0000337
breeding value estimation using genotype data,obo:STATO_0000338
breeding value estimation using pedigree data,obo:STATO_0000339
breeding value estimation using phenotypic data,obo:STATO_0000340
Matern function anisotropic covariance structure,obo:STATO_0000347
rational quadratic anisotropic covariance structure,obo:STATO_0000348
spatial linear geometric anisotropic covariance structure,obo:STATO_0000349
spatial spherical geometric anisotropic covariance structure,obo:STATO_0000350
spatial gaussian geometric anisotropic covariance structure,obo:STATO_0000351
spatial exponential geometric anisotropic covariance structure,obo:STATO_0000352
spatial exponential anisotropic covariance structure,obo:STATO_0000353
banded heterogeneous Toeplitz covariance structure,obo:STATO_0000354
heterogeneous Toeplitz covariance structure,obo:STATO_0000355
banded Toeplitz covariance structure,obo:STATO_0000356
Toeplitz covariance structure,obo:STATO_0000357
Huynh-Feldt covariance structure,obo:STATO_0000358
equal diagonal Factor Analytic covariance structure,obo:STATO_0000359
no diagonal Factor Analytic covariance structure,obo:STATO_0000360
Factor Analytic covariance structure,obo:STATO_0000361
compound symmetry covariance structure,obo:STATO_0000362
heterogeneous compound symmetry covariance structure,obo:STATO_0000363
first order autoregressive moving average covariance structure,obo:STATO_0000364
first order autoregressive covariance structure,obo:STATO_0000365
heterogeneous first-order autoregressive covariance structure,obo:STATO_0000366
Ante-dependence covariance structure,obo:STATO_0000367
Mallows' Cp,obo:STATO_0000368
repeated measure analysis,obo:STATO_0000369
ordinary least squares estimation,obo:STATO_0000370
weighted least squares estimation,obo:STATO_0000371
generalized least squares estimation,obo:STATO_0000372
iteratively reweighted least squares estimation,obo:STATO_0000373
feasible generalized least squares estimation,obo:STATO_0000374
Z-statistic,obo:STATO_0000376
deviance information criterion,obo:STATO_0000378
focused information criterion,obo:STATO_0000379
alpha distribution,obo:STATO_0000388
power law distribution,obo:STATO_0000389
regression model,obo:STATO_0000390
Pareto type-I probability distribution,obo:STATO_0000392
Pareto type-II probability distribution,obo:STATO_0000393
Pareto type-III probability distribution,obo:STATO_0000394
Pareto type-IV probability distribution,obo:STATO_0000395
Yuen t-Test with trimmed means,obo:STATO_0000406
Fagan nomogram,obo:STATO_0000407
2 step Fagan nomogram,obo:STATO_0000408
Cochran's Q statistic,obo:STATO_0000419
I-squared,obo:STATO_0000420
Tau squared,obo:STATO_0000421
Sidik-Jonkman estimator,obo:STATO_0000425
Hunter-Schmidt estimator,obo:STATO_0000426
restricted maximum likelihood estimation,obo:STATO_0000427
maximum likelihood estimation,obo:STATO_0000428
DerSimonian-Laird estimator,obo:STATO_0000429
meta analysis by Hartung-Knapp-Sidik-Jonkman method,obo:STATO_0000430
meta analysis by DerSimonian and Leard method,obo:STATO_0000431
meta analysis by Hunter-Schmidt method,obo:STATO_0000432
McNemar test,obo:STATO_0000433
Cochran's q test for heterogeneity,obo:STATO_0000434
probability distribution scale parameter,obo:STATO_0000435
probability distribution shape parameter,obo:STATO_0000436
log normal distribution,obo:STATO_0000438
outlier detection testing objective,obo:STATO_0000439
Dixon Q test,obo:STATO_0000440
Grubbs' test,obo:STATO_0000441
Tietjen-Moore test for outliers,obo:STATO_0000442
generalized extreme studentized deviate test,obo:STATO_0000443
split-plot design,obo:STATO_0000444
split split plot design,obo:STATO_0000445
Wilk's Lambda test,obo:STATO_0000450
Pillai's trace test,obo:STATO_0000451
Hotelling-Lawley Trace test,obo:STATO_0000452
Roy’s Maximum Root test,obo:STATO_0000453
multivariate analysis of variance,obo:STATO_0000454
95% credible interval,obo:STATO_0000456
99% credible interval,obo:STATO_0000458
group sequential design,obo:STATO_0000459
O'brien-Flemming boundary analysis,obo:STATO_0000461
Pocock boundary analysis,obo:STATO_0000462
Haybittle-Peto boundary analysis,obo:STATO_0000463
linear mixed model,obo:STATO_0000464
degree of freedom approximation,obo:STATO_0000472
Kenward-Roger degree of freedom approximation,obo:STATO_0000473
Satterthwaite degree of freedom approximation,obo:STATO_0000474
between-within denominator degrees of freedom approximation,obo:STATO_0000475
ridge regression best linear unbiaised predictor,obo:STATO_0000480
genomic best linear unbiased prediction,obo:STATO_0000481
trait-specific relationship matrix best linear unbiaised prediction,obo:STATO_0000482
Bayes A,obo:STATO_0000483
Bayes B,obo:STATO_0000484
Dunn’s multiple comparison test,obo:STATO_0000490
Conover-Iman test of multiple comparisons using rank sums,obo:STATO_0000491
Bayesian least absolute shrinkage and selection operator,obo:STATO_0000492
numerator degrees of freedom,obo:STATO_0000498
augmented experimental design,obo:STATO_0000499
probability distribution location parameter,obo:STATO_0000500
Weibull probability distribution,obo:STATO_0000501
statistical sampling,obo:STATO_0000502
simple random sampling,obo:STATO_0000503
line intercept sampling,obo:STATO_0000504
quadrat sampling,obo:STATO_0000505
cluster sampling,obo:STATO_0000506
probability-proportional-to-size sampling,obo:STATO_0000507
stratified sampling,obo:STATO_0000508
systematic sampling,obo:STATO_0000509
quota sampling,obo:STATO_0000510
panel sampling,obo:STATO_0000511
chain-referral sampling,obo:STATO_0000512
voluntary sampling,obo:STATO_0000513
convenience sampling,obo:STATO_0000514
Brewer sampling,obo:STATO_0000515
minimax sampling,obo:STATO_0000516
data imputation,obo:STATO_0000518
last observation carried forward data imputation,obo:STATO_0000519
regression data imputation,obo:STATO_0000520
substitution by the mean data imputation,obo:STATO_0000521
multivariate imputation with chained equations,obo:STATO_0000522
k-nearest neighbour data imputation,obo:STATO_0000523
Matthews correlation coefficient,obo:STATO_0000524
denominator degrees of freedom,obo:STATO_0000527
scaled t distribution,obo:STATO_0000529
Bayesian model,obo:STATO_0000530
prior probability distribution,obo:STATO_0000531
posterior probability distribution,obo:STATO_0000532
Bayes C pi,obo:STATO_0000533
genetic inheritance model,obo:STATO_0000534
sampling from a probability distribution,obo:STATO_0000535
Gibbs sampling,obo:STATO_0000536
Metropolis–Hastings sampling,obo:STATO_0000537
continuous multivariate probability distribution,obo:STATO_0000538
discrete multivariate probability distribution,obo:STATO_0000539
reproducing kernel Hilbert space procedure,obo:STATO_0000540
state space model,obo:STATO_0000541
genomic estimated breeding value,obo:STATO_0000542
Bayes R,obo:STATO_0000546
Laplace probability distribution,obo:STATO_0000547
sampling distribution estimation by bootstrapping,obo:STATO_0000548
random forest procedure,obo:STATO_0000549
Holm false discovery rate correction,obo:STATO_0000551
Hommel false discovery rate correction,obo:STATO_0000552
number of cross-validation segments,obo:STATO_0000554
number of predictive components,obo:STATO_0000555
number of orthogonal components,obo:STATO_0000556
statistical model term testing,obo:STATO_0000558
Wald test,obo:STATO_0000559
Rao's score test,obo:STATO_0000560
factor analysis,obo:STATO_0000567
Partial Least Square regression,obo:STATO_0000571
Partial Least Square Discriminant Analysis,obo:STATO_0000572
non-iterative Partial Least Squares,obo:STATO_0000575
SIMPLS,obo:STATO_0000576
PLS1,obo:STATO_0000577
PLS2,obo:STATO_0000578
improved Kernel PLS,obo:STATO_0000579
variable importance in projection,obo:STATO_0000580
singular value decomposition,obo:STATO_0000581
best linear unbiased estimator,obo:STATO_0000582
completely randomized design,obo:STATO_0000583
Wald statistic,obo:STATO_0000584
restricted randomized design,obo:STATO_0000586
statistical data analysis,obo:OBCS_0000001
Fisher-Snedecor distribution,obo:OBCS_0000003
F distribution,obo:OBCS_0000003
gamma distribution,obo:OBCS_0000004
Gaussian distribution,obo:OBCS_0000005
normal distribution,obo:OBCS_0000005
t-distribution,obo:OBCS_0000006
Student's t distribution,obo:OBCS_0000006
bivariate normality,obo:OBCS_0000007
bivariate normal distribution,obo:OBCS_0000007
"log normal, lognormal",obo:OBCS_0000008
log-normal distribution,obo:OBCS_0000008
point biserial correlation,obo:OBCS_0000009
probability distribution,obo:OBCS_0000010
test statistic,obo:OBCS_0000013
"inter-rater agreement, inter-annotator agreement",obo:OBCS_0000017
cohen's kappa measurement,obo:OBCS_0000017
causal model,obo:OBCS_0000018
correlation statistical analysis,obo:OBCS_0000019
hierarchical linear model,obo:OBCS_0000020
Mendelian randomization,obo:OBCS_0000021
hierarchical models,obo:OBCS_0000022
multilevel model,obo:OBCS_0000022
multivariate analysis,obo:OBCS_0000023
power calculation,obo:OBCS_0000024
univariate analysis,obo:OBCS_0000025
cochran-armitage test,obo:OBCS_0000027
two-sample K-S test,obo:OBCS_0000031
two-sample KS test,obo:OBCS_0000031
Kolmogorov-Smirnov two sample test,obo:OBCS_0000031
levene's test,obo:OBCS_0000032
loglinear analysis,obo:OBCS_0000033
mcnemar's test,obo:OBCS_0000034
statistical model,obo:OBCS_0000035
variance components,obo:OBCS_0000036
partitioning of variance components,obo:OBCS_0000036
confounding variable specification,obo:OBCS_0000039
dichotomous variable specification,obo:OBCS_0000041
"intervening variable, mediating variable",obo:OBCS_0000043
intervening variable specification,obo:OBCS_0000043
binomial distribution,obo:OBCS_0000044
Poisson distribution,obo:OBCS_0000045
negative likelihood ratio,obo:OBCS_0000046
positive likelihood ratio,obo:OBCS_0000047
normal distribution probability density function,obo:OBCS_0000051
sensitivity estimate,obo:OBCS_0000058
"true positive rate, recall",obo:OBCS_0000058
true negative rate,obo:OBCS_0000059
polynomial regression,obo:OBCS_0000061
sampling design,obo:OBCS_0000062
sampling plan,obo:OBCS_0000062
data sampling design,obo:OBCS_0000062
period prevalence rate,obo:OBCS_0000064
point prevalence rate,obo:OBCS_0000065
continuous probability distribution,obo:OBCS_0000066
discrete probability distribution,obo:OBCS_0000067
frequency distribution,obo:OBCS_0000068
cohen's kappa coefficient,obo:OBCS_0000069
false positive rate,obo:OBCS_0000078
type 1 error rate,obo:OBCS_0000078
beta error,obo:OBCS_0000079
false negative rate,obo:OBCS_0000079
type 2 error rate,obo:OBCS_0000079
intraclass correlation coefficient,obo:OBCS_0000084
logistic regression,obo:OBCS_0000086
logit regression,obo:OBCS_0000086
nonlinear regression,obo:OBCS_0000087
non-randomization sampling plan,obo:OBCS_0000088
non-randomization sampling design,obo:OBCS_0000088
randomization sampling plan,obo:OBCS_0000089
randomization sampling design,obo:OBCS_0000089
disease test sensitivity,obo:OBCS_0000094
disease test specificity,obo:OBCS_0000095
false positive,obo:OBCS_0000100
type I error,obo:OBCS_0000100
false negative,obo:OBCS_0000101
type II error,obo:OBCS_0000101
F test,obo:OBCS_0000102
Wilcoxon rank-sum test,obo:OBCS_0000103
mann-whitney U test,obo:OBCS_0000103
balanced design,obo:OBCS_0000104
complex sample design,obo:OBCS_0000108
kappa statistic,obo:OBCS_0000109
bartlett's test,obo:OBCS_0000110
intervening variable,obo:OBCS_0000111
"mediating variable, mediation",obo:OBCS_0000111
mediating variable,obo:OBCS_0000111
"moderator, interaction",obo:OBCS_0000112
moderator variable,obo:OBCS_0000112
weighted kappa,obo:OBCS_0000113
mixed model,obo:OBCS_0000115
probability density function,obo:OBCS_0000116
chi-square distribution,obo:OBCS_0000119
significantly statistical data analysis,obo:OBCS_0000121
inferential statistical data analysis,obo:OBCS_0000121
inferential statistical data analysis objective,obo:OBCS_0000124
exponential distribution,obo:OBCS_0000125
data collection objective,obo:OBCS_0000127
data collection from experiment,obo:OBCS_0000128
data collection from survey,obo:OBCS_0000129
data collection from literature,obo:OBCS_0000130
data collection by sampling,obo:OBCS_0000132
data collection design,obo:OBCS_0000137
diagnostic validity,obo:OBCS_0000138
data collection by censoring,obo:OBCS_0000139
RMA normalization,obo:OBCS_0000140
robust multi-array average normalization,obo:OBCS_0000140
significance analysis of microarrays,obo:OBCS_0000141
signal-2-noise statistic,obo:OBCS_0000142
signal-2-noise statistical analysis,obo:OBCS_0000142
GSEA,obo:OBCS_0000147
Gene Set Enrichment Analysis,obo:OBCS_0000147
Wilcoxon signed-rank test,obo:OBCS_0000148
data collection from observation,obo:OBCS_0000149
Extraction of Differential Gene Expression software,obo:OBCS_0000164
Patterns from Gene Expression software,obo:OBCS_0000165
GLobal Identifier of Target Regions software,obo:OBCS_0000166
LIMMA,obo:OBCS_0000168
LIMMA data analysis,obo:OBCS_0000168
differential expression analysis using LIMMA linear models for microarry data,obo:OBCS_0000168
data collection from online resource,obo:OBCS_0000171
data collection from online database,obo:OBCS_0000172
data collection using Web spider,obo:OBCS_0000173
data collection by web crawling,obo:OBCS_0000173
collection of incommensurate data,obo:OBCS_0000174
generation of missing data,obo:OBCS_0000177
processing incompatible data,obo:OBCS_0000178
factor analysis,obo:OBCS_0000180
MANOVA,obo:OBCS_0000181
Gaussian process regression,obo:OBCS_0000182
Bayesian analysis,obo:OBCS_0000183
knuth shuffle,obo:OBCS_0000184
sorting based on numerical order,obo:OBCS_0000186
sorting based on lexicorgraphic order,obo:OBCS_0000187
log2 transformation,obo:OBCS_0000189
square root transformation,obo:OBCS_0000190
Anscombe transformation,obo:OBCS_0000191
rank-order transformation,obo:OBCS_0000192
histogram distribution,obo:OBCS_0000210
Gaussian distribution,obo:OBCS_0000211
power-normal distribution,obo:OBCS_0000211
Box-Cox distribution,obo:OBCS_0000211
derived data from statistical analysis,obo:OBCS_0000218
derived data from descriptive statistical analysis,obo:OBCS_0000219
derived data from inferential statistical analysis,obo:OBCS_0000220
normal distribution transformation,obo:OBCS_0000222
data set following probability distribution,obo:OBCS_0000224
normally distributed data set,obo:OBCS_0000225
data collection from document,obo:OBCS_0000229
data collection from eMedical record,obo:OBCS_0000230
medical test sensitivity disposition,obo:OBCS_0000235
non-parametric test,obo:OBCS_0000236
Durbin test,obo:OBCS_0000238
Friedman test,obo:OBCS_0000239
intent-to-treat analysis,obo:OBCS_0000240
K-S test,obo:OBCS_0000241
KS test,obo:OBCS_0000241
Kolmogorov–Smirnov test,obo:OBCS_0000241
one-sample K-S test,obo:OBCS_0000242
one-sample KS test,obo:OBCS_0000242
Kolmogorov-Smirnov one sample test,obo:OBCS_0000242
Mantel–Cox test,obo:OBCS_0000243
log-rank analysis,obo:OBCS_0000243
log-rank test,obo:OBCS_0000243
Pearson's Chi square test,obo:OBCS_0000244
Pearson's X^2 test,obo:OBCS_0000244
Pearson's chi-square test,obo:OBCS_0000244
Yates' correction for continuity,obo:OBCS_0000245
Yates' chi-squared test,obo:OBCS_0000245
CMH test,obo:OBCS_0000246
Cochran–Mantel–Haenszel test,obo:OBCS_0000246
McNemar's test,obo:OBCS_0000247
ROC curve analysis,obo:OBCS_0000248
Receiver operating characteristic curve analysis,obo:OBCS_0000248
independent component analysis,obo:OBCS_0000249
least square regression,obo:OBCS_0000250
Instance-based algorithm,CoDiet_S3_1
Regularization algorithm,CoDiet_S3_10
Graph-based methods,CoDiet_S3_100
Deep learning,CoDiet_S3_101
Deep belief networks,CoDiet_S3_102
Deep Boltzmann machines,CoDiet_S3_103
Deep Convolutional neural networks,CoDiet_S3_104
Deep Recurrent neural networks,CoDiet_S3_105
Generative Adversarial Network,CoDiet_S3_106
Transformer,CoDiet_S3_107
BERT,CoDiet_S3_108
Bidirectional Encoder Representations from Transformers,CoDiet_S3_108
Generative Pretrained Transformer,CoDiet_S3_109
Generative Pre-trained Transformer,CoDiet_S3_109
GPT,CoDiet_S3_109
Ridge regression,CoDiet_S3_11
Stacked Auto-Encoders,CoDiet_S3_110
VAE,CoDiet_S3_111
Variational Autoencoder,CoDiet_S3_111
Autoencoder,CoDiet_S3_112
Siamese neural network,CoDiet_S3_113
LASSO,CoDiet_S3_12
Least Absolute Shrinkage and Selection Operator,CoDiet_S3_12
LASSO regression,CoDiet_S3_13
Elastic net,CoDiet_S3_14
Elastic net regression,CoDiet_S3_15
LARS,CoDiet_S3_16
Least-angle regression,CoDiet_S3_16
Probabilistic classifier,CoDiet_S3_17
Naive Bayes classifier,CoDiet_S3_18
Binary classifier,CoDiet_S3_19
k-nearest neighbor,CoDiet_S3_2
K-nearest neighbors algorithm,CoDiet_S3_2
k-nearest neighbors,CoDiet_S3_2
KNN,CoDiet_S3_2
kNN,CoDiet_S3_2
k-NN,CoDiet_S3_2
Linear classifier,CoDiet_S3_20
Hierarchical classifier,CoDiet_S3_21
Dimensionality reduction,CoDiet_S3_22
Canonical correlation analysis,CoDiet_S3_23
CCA,CoDiet_S3_23
Factor analysis,CoDiet_S3_24
Feature extraction,CoDiet_S3_25
Feature selection,CoDiet_S3_26
ICA,CoDiet_S3_27
Independent component analysis,CoDiet_S3_27
LDA,CoDiet_S3_28
Linear discriminant analysis,CoDiet_S3_28
MDS,CoDiet_S3_29
Multidimensional scaling,CoDiet_S3_29
Self-organising map,CoDiet_S3_3
Self-organising maps,CoDiet_S3_3
Self-organizing map,CoDiet_S3_3
Self-organizing maps,CoDiet_S3_3
SOM,CoDiet_S3_3
NMF,CoDiet_S3_30
NNMF,CoDiet_S3_30
Non-negative matrix factorisation,CoDiet_S3_30
Non-negative matrix factorization,CoDiet_S3_30
Partial least squares regression,CoDiet_S3_31
PLSR,CoDiet_S3_31
Partial least squares discriminant analysis,CoDiet_S3_31
PLSDA,CoDiet_S3_31
PCA,CoDiet_S3_32
Principal component analysis,CoDiet_S3_32
Principal components analysis,CoDiet_S3_32
PCR,CoDiet_S3_33
Principal component regression,CoDiet_S3_33
Projection pursuit,CoDiet_S3_34
Sammon mapping,CoDiet_S3_35
t-distributed stochastic neighbor embedding,CoDiet_S3_36
tSNE,CoDiet_S3_36
t-SNE,CoDiet_S3_36
Ensemble learning,CoDiet_S3_37
AdaBoost,CoDiet_S3_38
Bootstrap aggregating,CoDiet_S3_39
Regression analysis,CoDiet_S3_4
Bagging,CoDiet_S3_40
Ensemble averaging,CoDiet_S3_41
GBDT,CoDiet_S3_42
Gradient boosted decision tree,CoDiet_S3_42
Gradient-boosted decision tree,CoDiet_S3_42
xgBoost,CoDiet_S3_43
GBM,CoDiet_S3_44
Gradient boosting machine,CoDiet_S3_44
Random Forest,CoDiet_S3_45
Random Forests,CoDiet_S3_45
Reinforcement learning,CoDiet_S3_46
Q-learning,CoDiet_S3_47
SARSA,CoDiet_S3_48
State–action–reward–state–action,CoDiet_S3_48
Supervised learning,CoDiet_S3_49
Logistic regression,CoDiet_S3_5
ANN,CoDiet_S3_50
Artificial neural network,CoDiet_S3_50
Artificial neural networks,CoDiet_S3_50
Gaussian process regression,CoDiet_S3_51
Nearest Neighbor Algorithm,CoDiet_S3_52
Support vector machine,CoDiet_S3_53
Support vector machines,CoDiet_S3_53
SVM,CoDiet_S3_53
Vision transformer,CoDiet_S3_54
ViT,CoDiet_S3_54
Conditional Random Field,CoDiet_S3_55
ANOVA,CoDiet_S3_56
Bayesian networks,CoDiet_S3_57
Naive Bayes,CoDiet_S3_58
Hidden Markov models,CoDiet_S3_59
Ordinary least squares regression,CoDiet_S3_6
Hierarchical hidden Markov model,CoDiet_S3_60
Bayesian,CoDiet_S3_61
Bayesian statistics,CoDiet_S3_62
Gaussian Naive Bayes,CoDiet_S3_63
Multinomial Naive Bayes,CoDiet_S3_64
Bayesian Belief Network,CoDiet_S3_65
Bayesian Network,CoDiet_S3_66
Decision tree,CoDiet_S3_67
Decision tree algorithm,CoDiet_S3_67
Decision tree algorithms,CoDiet_S3_67
CART,CoDiet_S3_68
Classification and regression tree,CoDiet_S3_68
ID3,CoDiet_S3_69
ID3 algorithm,CoDiet_S3_69
Iterative Dichotomiser 3,CoDiet_S3_69
Linear regression,CoDiet_S3_7
C4.5 algorithm,CoDiet_S3_70
C5.0 algorithm,CoDiet_S3_71
Fisher's linear discriminant,CoDiet_S3_73
