Entity,Identifier
qualitative dietary recommendation,obo:ONE_0003002
qualitative FBDG,obo:ONE_0003002
qualitative food-based dietary guideline,obo:ONE_0003002
quantitative dietary guideline,obo:ONE_0003003
quantitative dietary recommendation,obo:ONE_0003003
quantitative FBDG,obo:ONE_0003003
quantitative food-based dietary guideline,obo:ONE_0003003
dietary guideline for infants,obo:ONE_0003004
dietary recommendation for infants,obo:ONE_0003004
FBDG for infants,obo:ONE_0003004
food-based dietary guideline for infants,obo:ONE_0003004
dietary guideline for children,obo:ONE_0003005
dietary recommendation for children,obo:ONE_0003005
FBDG for children,obo:ONE_0003005
food-based dietary guideline for children,obo:ONE_0003005
dietary guideline for adolescents,obo:ONE_0003006
dietary recommendation for adolescents,obo:ONE_0003006
FBDG for adolescents,obo:ONE_0003006
food-based dietary guideline for adolescents,obo:ONE_0003006
dietary guideline for adults,obo:ONE_0003007
dietary recommendation for adults,obo:ONE_0003007
FBDG for adults,obo:ONE_0003007
food-based dietary guideline for adults,obo:ONE_0003007
dietary guideline for elderly people,obo:ONE_0003008
dietary recommendation for elderly people,obo:ONE_0003008
FBDG for elderly people,obo:ONE_0003008
food-based dietary guideline for elderly people,obo:ONE_0003008
object property of food-based dietary guidelines,obo:ONE_0003009
quality indicator of food-based dietary guidelines,obo:ONE_0003009
dietary guideline regarding food diversity,obo:ONE_0003010
dietary recommendation regarding food diversity,obo:ONE_0003010
FBDG regarding food diversity,obo:ONE_0003010
food-based dietary guideline regarding food diversity,obo:ONE_0003010
dietary guideline regarding processed food,obo:ONE_0003011
dietary recommendation regarding processed food,obo:ONE_0003011
FBDG regarding processed food,obo:ONE_0003011
food-based dietary guideline regarding processed food,obo:ONE_0003011
target area of food-based dietary guidelines,obo:ONE_0003012
a relation between a food-based dietary guideline and its publication year.,obo:ONE_0003013
publication year of food-based dietary guidelines,obo:ONE_0003013
update frequency of food-based dietary guidelines,obo:ONE_0003014
stakeholder of food-based dietary guidelines,obo:ONE_0003015
target audience of food-based dietary guidelines,obo:ONE_0003016
promotion method of food-based dietary guidelines,obo:ONE_0003017
evidence characteristic of food-based dietary guidelines,obo:ONE_0003018
data property of food-based dietary guidelines,obo:ONE_0003019
